企业名称,经营状态,法定代表人,注册资本,成立日期,所属省份,所属城市,电话,更多电话,邮箱,统一社会信用代码,纳税人识别号,注册号,组织机构代码,参保人數,企业类型,所属行业,网址,企业地址,经营范围
上海猿玛教育科技有限公司,存续,金燕,50万元人民币,2017/4/17,上海,,17717219072,15821915903；,apecodingclub@163.com,91310110MA1G8DN92B,91310110MA1G8DN92B,3.10E+14,MA1G8DN9-2,0,有限责任公司（自然人独资）,,www.apecodingclub.com,上海市杨浦区平凉路1488号(集中登记地),"教育软件科技、电子产品技术领域内的技术咨询、技术服务、技术转让、技术开发,软件开发、销售,电子产品销售,计算机网络系统工程服务。"
合肥爱码教育科技有限公司,存续,徐庐东,50万元人民币,2019/3/11,安徽,合肥市,,,,91340103MA2TH8PN9X,91340103MA2TH8PN9X,,MA2TH8PN-9,0,有限责任公司(自然人投资或控股),教育,http://www.ace135kid.com,安徽省合肥市庐阳区徽州大道15号天徽大厦C座20层20B,教育科技产品研发、销售;教育咨询;信息技术推广服务;计算机软硬件技术研发、技术服务、技术转让、技术咨询、销售;计算机系统集成;网络工程设计、施工。
长春市编程猫教育培训学校有限责任公司,存续,张承志,20万元人民币,2019/6/3,吉林,长春市,,,,91220107MA1759DT71,91220107MA1759DT71,,MA1759DT-7,0,有限责任公司(自然人投资或控股),教育,,吉林省长春市高新开发区华光街与佳园路交汇嘉禾商务园103室,少儿小程序编程培训。
酷叮猫科技（大连）有限公司,存续,李江超,2000万元人民币,2018/6/29,辽宁,大连市,17741179329,,17741179329@qq.com,91210204MA0XWN2X7X,91210204MA0XWN2X7X,,MA0XWN2X-7,0,有限责任公司(自然人投资或控股),零售业,http://www.asjy.cn,辽宁省大连市沙河口区连胜街150号3-7-15,计算机软硬件技术开发、技术转让、技术服务、技术咨询及销售;企业管理咨询;企业营销策划;会议服务;展览展示服务;企业形象设计;大型活动组织服务;经营广告业务;体能拓展训练;国内一般贸易
洛阳市云竹信息技术有限公司,存续,江会玲,10万元人民币,2017/12/12,河南,洛阳市,13526938576,,496947073@qq.com,91410300MA44P1BX7K,91410300MA44P1BX7K,4.10E+14,MA44P1BX-7,0,有限责任公司(自然人投资或控股),,www.lyit.vip,中国(河南)自由贸易试验区洛阳片区高新区丰华路1号3幢404,计算机软件开发与销售;信息技术咨询服务;计算机外围设备及附属设备的销售;信息系统集成服务。
徐州市铜山区小马快跑儿童成长中心,正常,迟鈜,30.00万元,2019/7/25,江苏,徐州市,,,,52320312MJ6273236P,52320312MJ6273236P,,,0,民办非企业单位,,,铜山区天赋商业街8-101,少儿英语、美术、逻辑思维训练、编程
天津市滨海新区星远课外教育中心有限公司,存续,苗春来,50万元人民币,2019/1/31,天津,,,,,91120116MA06J86F93,91120116MA06J86F93,,MA06J86F-9,0,有限责任公司,教育,,天津市滨海新区滨海天津生态城新亚广场342-343室,少儿编程;课件、软件研发。
湖北中软中创科技有限公司,存续,王琰,100万元人民币,2016/9/8,湖北,襄阳市,18162371313,,819703618@qq.com,91420600MA48BGCT9R,91420600MA48BGCT9R,4.21E+14,MA48BGCT-9,0,有限责任公司(自然人独资),软件和信息技术服务业,www.chinasoftcc.com,襄阳市樊城区长虹路谷山大厦1幢1单元1906、1907号,软件技术开发、技术转让、技术咨询、技术服务;教育信息咨询服务;计算机技术培训;设计、制作、代理、发布国内各类广告;会议会展服务;企业管理咨询;商务信息咨询;市场营销策划。
宜城市炅烁教育咨询服务有限公司,存续,李盈,40万元人民币,2018/11/21,湖北,襄阳市,18986360896,,64654156@qq.com,91420684MA496Q8C5K,91420684MA496Q8C5K,,MA496Q8C-5,0,有限责任公司(自然人投资或控股),商务服务业,,湖北省襄阳市宜城市公园路1号,少儿编程、绘画、钢琴音乐咨询服务。
保定小阿哥科技有限公司,存续,骆双,1万元人民币,2019/10/16,河北,保定市,,,,91130611MA0E6YCU7P,91130611MA0E6YCU7P,,MA0E6YCU-7,0,有限责任公司(自然人独资),零售业,,河北省保定市白沟新城北环路262号,机器人编程、少儿编程、人工智能、计算机技术开发***
鞍山市巨人特长培训学校,正常,张秀丽,20.00万元,2015/3/4,辽宁,鞍山市,,,,5.22E+17,5.22E+17,,,0,民办非企业单位,,,--请选择----请选择--辽宁省鞍山市铁东区六道街(路/街)11号-13C11(号),写作英语、少儿模型制作编程
西安莲湖童程童美童慧培训中心有限公司,在业,冯圣环,100万元人民币,2019/10/18,陕西,西安市,,,,91610104MA6TNFM43M,91610104MA6TNFM43M,,MA6TNFM4-3,0,有限责任公司（非自然人投资或控股的法人独资）,教育,,陕西省西安市莲湖区北大街209号院内5号楼2楼,少儿编程、机器人编程培训。
南京学码思教育培训学校,正常,李桂元,200.00万元,2018/1/25,江苏,南京市,,,,52320104MJ56126386,52320104MJ56126386,,,0,民办非企业单位,,,南京市秦淮区太平南路211号5层、6层,IT、网络培训、数字艺术设计及少儿编程培训
海安扬思教育培训中心有限公司,存续,唐小翠,50万元人民币,2019/1/24,江苏,南通市,,,,91320621MA1XUHGJ6C,91320621MA1XUHGJ6C,,MA1XUHGJ-6,0,有限责任公司(自然人独资),教育,,南通市海安市海安镇中坝南路1号7幢201室,文化、艺术类、少儿编程培训。
榆林市辰启艺术培训学校有限公司,在业,刘霞,200万元人民币,2019/7/26,陕西,榆林市,,,,91610824MA70BCTC5U,91610824MA70BCTC5U,,MA70BCTC-5,0,有限责任公司(自然人独资),教育,,陕西省榆林市靖边县龙山路中段远东大厦二楼三楼,亲子早教、乐高积木、少儿编程、少儿思维*
潍坊爱知盟教育科技有限公司,在业,刘志良,10万元人民币,2017/9/28,山东,潍坊市,15853696970,,azmeng2018@qq.com,91370702MA3ELYAA8Y,91370702MA3ELYAA8Y,3.71E+14,MA3ELYAA-8,0,有限责任公司(自然人投资或控股),科技推广和应用服务业,www.azmeng.com,山东省潍坊市潍城区卧龙西街与永安路路口向南60米东侧卧龙桥村,教学软件技术开发、技术推广、技术转让、技术咨询、技术服务;计算机软硬件技术开发、技术转让及技术服务;模具设计;会务服务;平面设计;企业营销策划、制作、代理发布广告;市场调查;企业管理咨询;组织文化艺术交流活动;展览展示服务;影视策划;翻译服务;销售:计算机软硬件、办公设备、电子产品、机械设备、通讯设备、办公用品;
河南佰佳客商贸有限公司,存续,武现科,100万元人民币,2018/1/31,河南,郑州市,0371-66670860,18503872671；,hnbaijiake@163.com,91410100MA44UWHK0D,91410100MA44UWHK0D,4.10E+14,MA44UWHK-0,0,有限责任公司(自然人独资),,,郑州高新技术产业开发区木兰里9号1号楼2单元556号,网上贸易代理;销售:水产品、服装辅料、化妆品、食用农产品、种子、五金交电、玩具、健身器材、工艺礼品、陶瓷制品、建筑材料、塑胶制品、通讯设备、电子产品、包装材料、钟表、眼镜、照相器材、汽车配件、计算机、计算机软件及辅助设备、计生用品、第一类医疗器械、劳保用品、预包装食品、新鲜水果、新鲜蔬菜、日用百货、厨房用具、卫生间用具、针纺织品、服装、鞋帽、体育用品、文具用品;设计、制作、代理、发布国内广告业务;货物进出口、技术进出口;摄影服务;票务代理服务;企业营销策划;会议服务;展览展示服务;文化艺术交流活动策划;企业信息咨询服务;互联网信息咨询服务;计算机系统集成服务;计算机软件及网络技术开发、技术咨询、技术转让、技术服务;仓储服务);装饰装修工程的设计及施工;供应链管理服务;道路普通货物运输。
深圳市考拉编程有限公司,存续,熊琴,50万元人民币,2019/4/8,广东,深圳市,,,,91440300MA5FJRNP8L,91440300MA5FJRNP8L,4.40E+14,MA5FJRNP-8,0,有限责任公司,批发业,,深圳市光明区光明街道光明社区新地中央办公楼705,"一般经营项目是:少儿编程培训;少儿3D打印课程培训;少儿记忆法训练课程培训;人工智能、机器人及软件研发与技术咨询服务。,许可经营项目是:"
盘锦百越教育培训中心有限公司,存续,徐海英,10万元人民币,2019/5/17,辽宁,盘锦市,,,,91211103MA0YND324A,91211103MA0YND324A,,MA0YND32-4,0,有限责任公司(自然人投资或控股),教育,,辽宁省盘锦市兴隆台区振兴地区蓝色康桥商网0G10栋03号,少儿编程;数学。
深圳麦圈互动技术有限公司,存续,吴勇,100万元人民币,2014/4/2,广东,深圳市,13902259494,0755-36643556；0755-32917786；13534271387；0757-8285389；,lina@mi360.me,91440300094408591N,91440300094408591N,4.40E+14,09440859-1,4,有限责任公司,软件和信息技术服务业,www.91mycloud.com,深圳市南山区南山街道登良路汉京大厦5H-588,"网络技术开发、技术服务;计算机软硬件的技术开发、销售、技术服务;网络设备销售;网络系统集成;从事广告业务;市场营销策划;企业形象策划;展览展示策划;美术设计;产品包装设计;经济信息咨询;网络产品、信息产品的技术开发(以上根据法律、行政法规、国务院决定等规定需要审批的,依法取得相关审批文件后方可经营)。^"
杭州乐树教育科技有限公司,注销,阳玉明,20万元人民币,2017/8/3,浙江,杭州市,,,,91330110MA28WHDB1Q,91330110MA28WHDB1Q,3.30E+14,MA28WHDB-1,0,有限责任公司(自然人投资或控股),互联网和相关服务,www.hellokids.club,浙江省杭州市余杭区良渚街道大乐汇中心1幢1417室,技术开发、技术转让、技术咨询、技术服务;软件开发;基础软件服务;应用软件服务;市场调查;教育软件开发;文化咨询;会议服务;承办展览展示活动;组织文化艺术交流活动;产品设计;模型设计;自然科学研究与实验发展;销售文化用品、体育用品、玩具、乐器、机械设备、电子产品、计算机、软件及辅助设备。
子长县奇幻科技有限公司,在业,张红梅,10万元人民币,2019/3/27,陕西,延安市,,,,91610623MA6YKPME0X,91610623MA6YKPME0X,,MA6YKPME-0,0,有限责任公司(自然人独资),零售业,,陕西省延安市子长县安定西路10号,少儿编程教育、小学英语、小学数学、小学语文、初中英语、初中数学、初中语文。
沈阳市沈河区同泽雨人教育培训学校,正常,张放,30.00万元,2019/11/19,辽宁,沈阳市,,,,52210103MJ2884419R,52210103MJ2884419R,,,0,民办非企业单位,,,沈阳市沈河区东滨河路152-3号,"少儿编程,思维导图,国学,中小学文化课"
北京米创教育科技有限公司,在业,卢广京,170万元人民币,2012/5/16,北京,,13910775332,13801260923；,lugj@micrea.com.cn,9.11E+17,9.11E+17,1.10E+14,59603579-9,18,有限责任公司(自然人投资或控股),科技推广和应用服务业,www.micrea.com.cn,北京市海淀区温泉镇创客小镇社区配套商业楼16#楼二层216室,"技术开发、技术转让、技术咨询、技术服务、技术培训;基础软件服务;应用软件服务;计算机系统服务;数据处理(数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外);代理、发布广告;销售工艺品、计算机、软件及辅助设备、电子产品、通讯设备、文化用品、体育用品、日用品;教育咨询;企业管理咨询;文化咨询;投资咨询;企业管理;组织文化艺术交流活动;承办展览展示活动;会议服务;翻译服务;市场调查;投资管理;电脑动画设计;信息服务业务(仅限互联网信息服务)。(互联网信息服务增值电信业务经营许可证有效期至2023年08月01日)。(企业依法自主选择经营项目,开展经营活动;信息服务业务(仅限互联网信息服务)。以及;。)"
上海藤甲信息科技有限公司,存续,潘伟峰,100万元人民币,2016/10/26,上海,,18086639871,13916688070；,sunny2016@9haomi.cn,91310116MA1J8WPR79,91310116MA1J8WPR79,3.10E+14,MA1J8WPR-7,1,有限责任公司(自然人投资或控股),科技推广和应用服务业,http://www.khshu.cn,上海市金山区朱枫公路9135号枫泾商城4号楼1-2322室,"从事“计算机信息、网络、计算机”科技领域内技术开发、技术咨询、技术服务,房屋建设工程,建筑设计,商务咨询,企业管理咨询,文化艺术交流策划咨询,市场营销策划,企业形象策划,市场信息咨询与调查,会务服务,展览展示服务,电子商务,设计制作各类广告,利用自有媒体发布广告,通信工程。"
绍兴易明艺术培训有限公司,存续,徐小明,50万元人民币,2019/4/26,浙江,绍兴市,,,,91330604MA2BHP1M8N,91330604MA2BHP1M8N,,MA2BHP1M-8,0,有限责任公司(自然人独资),教育,,浙江省绍兴市上虞区百官街道锦茂大厦1001室,沙画、美术、跆拳道、棋类、少儿编程培训。
秦皇岛经济技术开发区七色鹿培训学校,正常,张蕊,30.00万元,2019/9/2,河北,秦皇岛市,,,,52130300MJ0852384A,52130300MJ0852384A,,,0,民办非企业单位,,,河北省秦皇岛市经济技术开发区泰盛家园综合楼55栋三层,语文、数学、英语、舞蹈、汉语言、感统、少儿编程
平顶山新思想教育咨询有限公司,存续,冯金超,10万元人民币,2019/7/25,河南,平顶山市,,,,91410403MA475CYC54,91410403MA475CYC54,,MA475CYC-5,0,有限责任公司(自然人独资),商务服务业,http://www.pdsxsx.cn,河南省平顶山市卫东区优越路街道园丁路西段路南纸箱厂家属院1号楼1单元2楼东户,教育咨询服务。
平阳县创斯美术培训有限公司,存续,蔡思思,5万元人民币,2019/11/19,浙江,温州市,,,,91330326MA2HA2PEXB,91330326MA2HA2PEXB,,MA2HA2PE-X,0,有限责任公司(自然人投资或控股),教育,,浙江省温州市平阳县鳌江镇鳌峰大厦2101室,美术培训;乐高机器人编程培训;少儿口才培训;课后辅导
献县酷睿培训学校有限公司,存续,孟祥玲,30万元人民币,2019/11/15,河北,沧州市,,,,91130929MA0EAEDQ8B,91130929MA0EAEDQ8B,,MA0EAEDQ-8,0,有限责任公司(自然人投资或控股),教育,,河北省沧州市献县盛泰家园南门西侧第四家门市,3-16岁青少年机器人教育、少儿编程、语文。
昆明市五华区智鱼教育培训学校,正常,魏成明,50.00万元,2018/3/14,云南,昆明市,,,,52530102MJY1112893,52530102MJY1112893,,,0,民办非企业单位,,,昆明市五华区滇缅大道2589号建发曦城商业广场A5地块F3-03,少儿机器人及编程培训。***
上海晓堰科技有限公司,存续,郝奕,100万元人民币,2018/12/5,上海,,13472861252,,1642757098@qq.com,91310114MA1GW2FM9T,91310114MA1GW2FM9T,,MA1GW2FM-9,0,有限责任公司（自然人独资）,零售业,http://www.mayibiancheng.com,上海市嘉定区菊园新区环城路2222号1幢J3335室,"从事软件技术、网络技术、计算机技术领域内的技术开发、技术转让、技术咨询、技术服务,软件开发,商务咨询,网络工程。"
千里码教育科技有限公司,存续,鄢粒,5000万元人民币,2018/7/18,四川,成都市,18086805044,17780730904；,guoyu@qlmbc.cn,91510105MA63BE156E,91510105MA63BE156E,,MA63BE15-6,29,有限责任公司(自然人投资或控股),教育,www.qlmbc.cn,成都市青羊区优品街79号1栋3层306号,"机器人编程技术推广服务,软件开发;教育咨询;组织文化交流活动;组织青少年科技活动;少儿文化服务;会议、展览及相关服务;销售:文化、体育用品及器材。()。"
西安飞淏教育培训中心有限公司,在业,严冠军,50万元人民币,2019/5/15,陕西,西安市,,,,91610103MA6WRXN519,91610103MA6WRXN519,,MA6WRXN5-1,0,有限责任公司(自然人投资或控股),教育,,陕西省西安市碑林区太白北路17号1幢10302室,机器人编程、少儿艺术、中小学课外文化课辅导
如皋市金欣培训中心有限公司金顺分公司,存续,季鹏飞,,2018/8/8,江苏,南通市,15850789801,,706044436@qq.com,91320682MA1X116W7F,91320682MA1X116W7F,,MA1X116W-7,0,有限责任公司分公司,零售业,,如皋市如城街道海阳路145号,美术培训;少儿编程培训;书法培训。
平阳县爱尚乐儿童机器人培训有限公司,存续,肖央央,10万元人民币,2018/11/9,浙江,温州市,,,,91330326MA2CTMMR0R,91330326MA2CTMMR0R,,MA2CTMMR-0,0,有限责任公司(自然人投资或控股),,,浙江省温州市平阳县萧江镇周宅路105-109号,乐高机器人编程培训;亲子、少儿活动活动策划
米脂县浩卓培训学校有限公司,在业,黄西梅,50万元人民币,2019/9/2,陕西,榆林市,,,,91610827MA70BJ9L0T,91610827MA70BJ9L0T,,MA70BJ9L-0,0,有限责任公司(自然人独资),教育,,陕西省榆林市米脂县公园西路81号2楼,许可经营项目:中小学生少儿编程培训、作业辅导。一般经营项目:无。
嘉兴朴灵计算机信息服务有限公司,存续,步哲浩,10万元人民币,2018/5/30,浙江,嘉兴市,18268053296,,,91330424MA2BACDT8Y,91330424MA2BACDT8Y,,MA2BACDT-8,0,有限责任公司(自然人独资),专业技术服务业,,浙江省嘉兴市海盐县武原街道枣园东路31号巴黎都市商业中心B幢603、604室,计算机信息服务;少儿编程培训。
天津市益方培训学校有限公司,存续,刘雅琴,50万元人民币,2019/11/11,天津,,,,,91120105MA06W0HU0P,91120105MA06W0HU0P,,MA06W0HU-0,0,有限责任公司,教育,,天津市河北区江都路街道泰兴路104号、106号、108号,少儿舞蹈、少儿主持人、少儿阅读与写作、少儿英语、少儿编程、少儿太极拳培训;儿童临时看护服务。
金乡县艾科瑞特创客培训学校有限公司,在业,史作芬,10万元人民币,2019/9/5,山东,济宁市,,,,91370828MA3QHNL05P,91370828MA3QHNL05P,,MA3QHNL0-5,0,有限责任公司(自然人投资或控股),教育,,山东省济宁市金乡县文化路数码城汇富名邸8-S807号,少儿创客培训、少儿编程培训(有效期限以批复为准)。
深圳图灵创新科技有限公司,存续,刘洪,100万元人民币,2015/12/8,广东,深圳市,13693005687,,1544356989@qq.com,91440300359441371E,91440300359441371E,4.40E+14,35944137-1,0,有限责任公司,,www.turing100.com,深圳市宝安区西乡街道新安六路互联网产业基地A区2栋4楼3B10A,计算机软硬件及网络的技术开发、技术转让、技术咨询、技术服务;教育咨询;计算机技术培训。^
沈阳市浑南区金榜学堂教育培训学校有限公司,存续,刘龙谦,50万元人民币,2019/10/25,辽宁,沈阳市,,,,91210112MA101J4X1H,91210112MA101J4X1H,,MA101J4X-1,0,有限责任公司(自然人独资),教育,,辽宁省沈阳市浑南新区浑南二路10-2号501、502、503、504室,英语、数学、生物、少儿编程、美术。
深圳市奕风传媒有限公司,存续,王奕文,100万元人民币,2016/9/7,广东,深圳市,13924593046,,80412848@qq.com,91440300MA5DKM7T9B,91440300MA5DKM7T9B,4.40E+14,MA5DKM7T-9,1,有限责任公司,体育,www.yifengtv.com,深圳市福田区莲花街道新闻路1号中电信息大厦东座1519室,"从事广告业务;文具用品、体育用品、首饰、工艺美术品的销售;经营电子商务;教育咨询;计算机技术培训;市场营销策划。,限制的项目须取得许可后方可经营)^"
启东尼可人儿信息科技有限公司,存续,倪俊荆,100万元人民币,2014/4/2,江苏,南通市,18851302966,18616677860；,,9132068108825790XN,9132068108825790XN,3.21E+14,08825790-X,0,有限责任公司(自然人投资或控股),软件和信息技术服务业,www.nickrener.cn,启东市汇龙镇南苑中路869号,信息系统设计服务;服装、电子产品销售;预包装食品兼散装食品批发与零售。
如皋市金欣培训中心有限公司,存续,季鹏飞,50万元人民币,2016/5/3,江苏,南通市,13862968491,15850789801；,706044436@qq.com,91320682MA1MK7RC7W,91320682MA1MK7RC7W,3.21E+14,MA1MK7RC-7,10,有限责任公司(自然人投资或控股),商务服务业,,如皋市如城街道宁海东路学府雅居B栋4号店面,美术培训;少儿编程培训;书法培训。
深圳市奇幻机器人教育有限公司,存续,张俊霞,165万元人民币,2019/4/15,广东,深圳市,,,,91440300MA5FK8AX47,91440300MA5FK8AX47,4.40E+14,MA5FK8AX-4,0,有限责任公司,教育,,深圳市福田区华富街道梅岗社区梅岗路8号笔架山庄梅岗路8-2,"一般经营项目是:少儿机器人编程;机器人教育软件的研发、销售、租赁。,许可经营项目是:"
丽水市圣盖博美术培训有限公司,存续,黄曦,500万元人民币,2019/1/9,浙江,丽水市,,,,91331102MA2E0PXE62,91331102MA2E0PXE62,,MA2E0PXE-6,0,有限责任公司(自然人独资),教育,,浙江省丽水市莲都区中山街31号,"开展美术、音乐、舞蹈、戏剧表演、积木搭建、少儿主持、少儿编程培训),教育信息咨询服务;食品零售。"
固始县春风教育咨询有限公司,存续,胡世林,10万元人民币,2019/8/21,河南,信阳市,,,,91411525MA479HCF5H,91411525MA479HCF5H,,MA479HCF-5,0,有限责任公司(自然人独资),商务服务业,,河南省信阳市固始县红苏路中段中国人民银行斜对面66517号,"教育咨询,少儿计算机编程,书法美术培训;教育教学用品销售。"
上海轻帆网络科技有限公司,存续,王小培,200万元人民币,2018/5/17,上海,,13817635183,,,91310112MA1GC0MP35,91310112MA1GC0MP35,,MA1GC0MP-3,1,有限责任公司(自然人投资或控股),软件和信息技术服务业,,上海市闵行区联航路1588号1幢技术中心楼主楼424室,"从事网络科技领域内的技术开发、技术转让、技术服务、技术咨询,经营性互联网文化信息服务,软件开发,市场信息咨询与调查。"
宝应县常春藤教育培训中心有限公司,存续,王海彬,10万元人民币,2019/6/18,江苏,扬州市,,,,91321023MA1YK62WXX,91321023MA1YK62WXX,,MA1YK62W-X,0,有限责任公司(自然人独资),教育,,宝应县商业广场C1-C6(安宜东路8号),中小学文化课培训、快乐魔方大语文、幼少儿英语、晚辅、编程。
上海迈韵信息科技有限公司,存续,曾美春,50万元人民币,2017/4/26,上海,,18616506259,,283015121@qq.com,91310118MA1JLW075P,91310118MA1JLW075P,3.10E+14,MA1JLW07-5,2,有限责任公司(自然人投资或控股),软件和信息技术服务业,,上海市青浦区金泽镇练西公路2850号1幢1层U区133室,"信息科技、网络科技、计算机、通信科技领域内的技术开发、技术咨询、技术服务、技术转让,商务咨询,企业形象策划,广告设计、制作,图文设计、制作,电子商务,会务服务,展览展示服务,从事货物及技术的进出口业务,销售计算机软件及辅助设备、建筑装潢材料、劳防用品、办公用品、日用百货。"
平阳县邦宝培训学校有限公司,存续,高义,5万元人民币,2019/1/16,浙江,温州市,,,,91330326MA2AQNMD00,91330326MA2AQNMD00,,MA2AQNMD-0,0,有限责任公司(自然人独资),,,浙江省温州市平阳县鳌江镇泰悦府3-107号,少儿编程、思维培训培训服务(在民办学校办学许可证有效期限内经营)。
甘肃启慧教育咨询有限公司,存续,李芳红,20万元人民币,2018/7/6,甘肃,陇南市,17793926238,,,91621202MA73ER774A,91621202MA73ER774A,,MA73ER77-4,0,有限责任公司(自然人独资),,,甘肃省陇南市武都区城关镇凯元新居二单元802室,机器人搭建与编程、语言表达能力咨询;少儿科学实验、大脑智力开发咨询服务。。
如皋昂首文化艺术培训中心有限公司,存续,陈林锁,50万元人民币,2018/7/2,江苏,南通市,15850789801,,706044436@qq.com,91320682MA1WTEFR0N,91320682MA1WTEFR0N,,MA1WTEFR-0,14,有限责任公司(自然人独资),教育,,如皋市如城街道中山路418号2幢106室,呼吸作文、无诀珠心算、朗训英语、数学思维培训、少儿编程、自主美劳培训。
云南乐益达课外辅导培训学校有限公司,存续,毕川,100万元人民币,2019/6/28,云南,昆明市,,,,91530112MA6NXX9E0P,91530112MA6NXX9E0P,,MA6NXX9E-0,0,有限责任公司（非自然人投资或控股的法人独资）,教育,,云南省昆明市西山区盛高大城4期22-2号楼2S-16、17、18、19、20号商铺,非学历科技类培训(机器人、少儿编程、科学实验)
合肥隆庭沐码教育咨询有限公司,存续,韦少鹏,50万元人民币,2019/2/20,安徽,合肥市,,,,91340104MA2TFT4467,91340104MA2TFT4467,,MA2TFT44-6,0,其他有限责任公司,商务服务业,,安徽省合肥市蜀山区高河东路国际花都天香苑门面5-110、210,教育信息咨询;教育产品的推广与销售;少儿机器人和少儿编程信息咨询;文化活动组织策划与交流
温州牧羊人儿童机器人培训有限公司,存续,胡梦娅,100万元人民币,2018/12/4,浙江,温州市,,,,91330382MA2AQ2584Y,91330382MA2AQ2584Y,3.30E+14,MA2AQ258-4,0,有限责任公司(自然人投资或控股),,,浙江省乐清市城南街道宁康西路338号(龙飞集团有限公司四楼),儿童机器人编程培训;亲子、少儿活动策划;文化艺术交流活动组织、策划。
丽水晓语少儿计算机培训有限公司,存续,孙康,100万元人民币,2018/11/21,浙江,丽水市,,,,91331102MA2E0HFT27,91331102MA2E0HFT27,,MA2E0HFT-2,0,有限责任公司(自然人独资),教育,,浙江省丽水市莲都区庆春街759号二层,"开展少儿计算机培训、编程培训);计算机软硬件开发、技术服务、技术转让;广告设计、制作、发布;赛事活动、户外拓展活动的组织、策划、承办;教学设备,仪器仪表,计算机软硬件批发、零售(含网上销售)。"
宁波市镇海区民欣教育培训学校有限公司,存续,杜英彬,10万元人民币,2019/5/22,浙江,宁波市,,,,91330211MA2GQUNA7Y,91330211MA2GQUNA7Y,,MA2GQUNA-7,0,有限责任公司(自然人独资),教育,,浙江省宁波市镇海区骆驼街道南二西路258号4楼,文化类培训;美术、舞蹈、书法、播音与主持、乐器、音乐、少儿编程培训
合肥沐码爱恩教育咨询有限公司,存续,韦少鹏,50万元人民币,2019/5/24,安徽,合肥市,,,,91340111MA2TQW6UXR,91340111MA2TQW6UXR,,MA2TQW6U-X,0,其他有限责任公司,商务服务业,,安徽省合肥市经济技术开发区翡翠路188号港澳广场商业C区13号,教育信息咨询;教育产品的推广与销售;少儿机器人技术咨询;少儿编程信息咨询;文化交流活动组织与策划。
大同市牛洱信息咨询有限公司,存续,郭爱英,3万元人民币,2018/11/8,山西,大同市,13103426210,,343597373@qq.com,91140204MA0KA4924Y,91140204MA0KA4924Y,,MA0KA492-4,0,有限责任公司(自然人独资),商务服务业,,山西省大同市平城区凯德世家17号楼底商N-07号商铺,少儿编程技术推广服务;教育咨询;组织文化艺术交流活动;乐器销售;提供艺术文化咨询服务。
平阳县唯宝文化发展有限公司,存续,沈亦广,3万元人民币,2019/4/10,浙江,温州市,,,,91330326MA2AT3A42L,91330326MA2AT3A42L,,MA2AT3A4-2,0,有限责任公司(自然人投资或控股),批发业,,浙江省温州市平阳县昆阳镇瑞阳豪庭商铺28号,文化艺术交流活动策划;教育信息咨询服务;乐高机器人编程咨询服务;亲子、少儿活动组织策划;玩具、教具销售。
乐清市弈心围棋培训有限公司,存续,赵一心,50万元人民币,2018/7/23,浙江,温州市,18757727109,,,91330382MA2CQLN15J,91330382MA2CQLN15J,,MA2CQLN1-5,0,有限责任公司(自然人投资或控股),教育,,浙江省温州市乐清市大荆镇蔗湖村荆山北路,围棋、乐高机器人编程培训;亲子、少儿活动策划;文化艺术交流活动组织、策划;围棋用品、机器人教具销售。
宁波市快乐代码志愿服务中心,正常,夏天琰,10.00万元,2017/4/13,浙江,宁波市,,,,52330200MJ8952953J,52330200MJ8952953J,,,0,民办非企业单位,,,宁穿路1800号宁波科学控索中心B区一楼创客俱乐部内,"从事以编程为主的少儿科普公益活动。(依法须经批准的项目,经相关部门批准后方可开展业务活动)"
合肥沐码教育科技有限公司,存续,韦少鹏,100万元人民币,2018/8/2,安徽,合肥市,13345513106,,xuj@mucode.com.cn,91340104MA2RY64P7Y,91340104MA2RY64P7Y,,MA2RY64P-7,7,有限责任公司(自然人投资或控股),教育,www.hellopony.com.cn,合肥市蜀山区潜山路287号合轻大厦5层,教育软件的研发与销售;教育产品的研发、推广与销售;少儿机器人和少儿编程信息咨询;文化活动组织策划与交流;教育信息咨询。
温州猿创力儿童机器人培训有限公司,存续,郑彬乐,100万元人民币,2018/10/10,浙江,温州市,,,,91330382MA2CT6727Y,91330382MA2CT6727Y,,MA2CT672-7,0,有限责任公司(自然人投资或控股),,,浙江省温州市乐清市柳市镇三里一路352-388号(佑利控股集团有限公司内),乐高机器人编程培训;亲子、少儿活动策划;文化艺术交流活动组织策划。
张张艺术培训重庆有限公司,存续,张富银,400万元人民币,2019/9/27,重庆,,,,,91500112MA60JTYG8R,91500112MA60JTYG8R,,MA60JTYG-8,0,有限责任公司(自然人独资),教育,,重庆市渝北区双龙湖路街道渝湖路133号1幢1-8,美术培训、书法培训、舞蹈培训、普通话培训、陶艺培训、声乐与乐器培训、手工艺培训、少儿编程培训、机器人培训(以上范围)。
横山区艾卓创客编程室,在业,张燕,,2018/6/4,陕西,榆林市,,,,92610823MA709ELQ3D,92610823MA709ELQ3D,,,0,个体工商户,批发业,,陕西省榆林市横山区横中家属院门前,少儿编程、机器人制作、3D打印
平湖群兴体育有限公司,存续,朱利峰,5万元人民币,2019/10/28,浙江,嘉兴市,,,,91330482MA2CXFHP5L,91330482MA2CXFHP5L,,MA2CXFHP-5,0,有限责任公司(自然人独资),体育,,浙江省嘉兴市平湖市广陈镇振广西路150号,开展武术、音乐、乐器、美术、舞蹈、体育、书法、棋艺、少儿主持、朗诵、模特、机器人编程、航模;零售:服装、鞋帽。
